uid,iid,rating,time,timestamp
113,1,5,2005-08-08,1123430400
114,1,5,2004-11-17,1100620800
115,1,4,2004-06-13,1087056000
116,1,3,2005-09-02,1125590400
117,1,5,2005-07-19,1121702400
118,1,4,2005-08-25,1124899200
119,1,2,2005-05-02,1114963200
120,1,3,2005-08-01,1122825600
121,1,4,2004-12-19,1103385600
122,1,1,2004-07-01,1088611200
123,1,5,2005-08-01,1122825600
124,1,4,2004-07-15,1089820800
125,1,4,2005-06-02,1117641600
126,1,5,2005-09-16,1126800000
127,1,4,2005-11-01,1130774400
128,1,3,2004-12-08,1102435200
129,1,5,2005-03-15,1110816000
130,1,3,2005-09-21,1127232000
131,1,5,2004-05-06,1083772800
132,1,5,2004-04-29,1083168000
133,1,1,2004-11-23,1101139200
134,1,3,2005-04-19,1113840000
135,1,4,2005-06-06,1117987200
136,1,5,2005-11-15,1131984000
137,1,5,2004-12-20,1103472000
138,1,2,2004-07-12,1089561600
139,1,4,2005-04-27,1114531200
140,1,3,2005-08-23,1124726400
141,1,3,2004-05-12,1084291200
142,1,5,2004-10-19,1098115200
143,1,4,2005-08-09,1123516800
144,1,5,2004-01-23,1074787200
145,1,5,2005-01-31,1107100800
146,1,4,2005-05-06,1115308800
147,1,3,2005-04-04,1112544000
148,1,1,2005-08-28,1125158400
149,1,3,2005-01-02,1104595200
150,1,4,2005-05-13,1115913600
151,1,3,2005-01-08,1105113600
152,1,2,2004-06-21,1087747200
153,1,3,2005-08-10,1123603200
154,1,4,2005-02-14,1108310400
155,1,1,2004-12-14,1102953600
156,1,4,2005-03-27,1111852800
157,1,4,2005-09-11,1126368000
158,1,5,2005-09-18,1126972800
159,1,3,2005-10-25,1130169600
160,1,2,2005-07-26,1122307200
161,1,2,2004-12-05,1102176000
162,1,4,2004-11-09,1099929600
163,1,3,2005-05-04,1115136000
164,1,2,2005-09-23,1127404800
165,1,3,2004-03-03,1078243200
166,1,4,2005-10-31,1130688000
167,1,5,2005-12-10,1134144000
168,1,4,2004-04-04,1081008000
169,1,4,2005-09-01,1125504000
170,1,3,2004-04-03,1080921600
171,1,3,2004-08-28,1093622400
172,1,1,2005-10-24,1130083200
173,1,3,2005-08-31,1125417600
174,1,4,2005-01-19,1106064000
175,1,4,2005-03-26,1111766400
176,1,2,2004-02-09,1076256000
177,1,3,2004-07-05,1088956800
178,1,3,2004-12-27,1104076800
179,1,4,2005-04-13,1113321600
180,1,3,2005-09-27,1127750400
181,1,4,2005-07-13,1121184000
182,1,4,2005-05-17,1116259200
183,1,2,2005-05-23,1116777600
184,1,4,2005-11-02,1130860800
185,1,4,2005-07-08,1120752000
186,1,4,2004-03-24,1080057600
187,1,4,2005-12-27,1135612800
188,1,3,2004-05-11,1084204800
189,1,4,2004-10-24,1098547200
190,1,4,2005-06-02,1117641600
191,1,3,2005-12-03,1133539200
192,1,5,2005-03-24,1111593600
193,1,5,2005-04-24,1114272000
194,1,5,2005-11-09,1131465600
195,1,4,2005-11-21,1132502400
196,1,5,2004-05-11,1084204800
197,1,5,2005-10-26,1130256000
198,1,4,2005-07-09,1120838400
199,1,4,2004-08-26,1093449600
200,1,4,2004-05-26,1085500800
201,1,4,2004-12-15,1103040000
202,1,5,2005-02-03,1107360000
203,1,5,2004-05-10,1084118400
204,1,5,2004-09-20,1095609600
205,1,3,2004-05-20,1084982400
206,1,3,2004-10-22,1098374400
207,1,2,2005-10-29,1130515200
208,1,4,2005-12-13,1134403200
209,1,5,2005-05-05,1115222400
210,1,5,2005-10-19,1129651200
211,1,2,2004-04-25,1082822400
212,1,1,2005-04-03,1112457600
213,1,4,2005-10-03,1128268800
214,1,3,2005-07-27,1122393600
215,1,5,2005-04-29,1114704000
216,1,4,2005-06-28,1119888000
217,1,5,2005-10-12,1129046400
218,1,5,2005-08-17,1124208000
219,1,5,2005-04-30,1114790400
220,1,4,2005-05-11,1115740800
221,1,4,2005-06-23,1119456000
222,1,4,2004-03-16,1079366400
223,1,4,2005-09-27,1127750400
224,1,3,2004-10-22,1098374400
225,1,3,2004-07-25,1090684800
226,1,5,2004-04-17,1082131200
227,1,5,2005-03-18,1111075200
228,1,5,2005-07-11,1121011200
229,1,4,2004-10-19,1098115200
230,1,5,2005-12-19,1134921600
231,1,3,2005-03-15,1110816000
232,1,3,2005-07-05,1120492800
233,1,3,2004-09-24,1095955200
234,1,5,2005-09-22,1127318400
235,1,4,2004-04-03,1080921600
236,1,4,2005-10-28,1130428800
237,1,5,2005-07-25,1122220800
238,1,5,2005-08-02,1122912000
239,1,1,2005-03-09,1110297600
240,1,4,2005-10-14,1129219200
241,1,3,2005-07-25,1122220800
242,1,5,2004-11-08,1099843200
243,1,5,2005-03-24,1111593600
244,1,4,2005-06-28,1119888000
245,1,3,2005-07-04,1120406400
246,1,4,2005-08-27,1125072000
247,1,4,2004-10-05,1096905600
248,1,5,2005-05-08,1115481600
249,1,4,2004-05-10,1084118400
250,1,3,2004-05-01,1083340800
251,1,3,2004-11-17,1100620800
252,1,1,2005-04-18,1113753600
253,1,4,2005-05-06,1115308800
254,1,3,2005-07-25,1122220800
255,1,4,2004-10-25,1098633600
256,1,4,2004-12-15,1103040000
257,1,4,2005-01-03,1104681600
258,1,4,2005-10-03,1128268800
259,1,4,2004-04-03,1080921600
260,1,5,2005-08-11,1123689600
261,1,4,2004-03-09,1078761600
262,1,5,2004-08-31,1093881600
263,1,4,2005-09-02,1125590400
264,1,4,2004-02-06,1075996800
265,1,2,2005-09-21,1127232000
266,1,5,2004-03-08,1078675200
267,1,1,2004-03-01,1078070400
268,1,4,2004-12-30,1104336000
269,1,5,2005-04-10,1113062400
270,1,4,2005-10-27,1130342400
271,1,4,2005-08-27,1125072000
272,1,5,2005-02-25,1109260800
273,1,3,2005-05-14,1116000000
274,1,5,2005-06-22,1119369600
275,1,5,2005-09-26,1127664000
276,1,3,2005-09-27,1127750400
277,1,4,2005-10-03,1128268800
278,1,4,2004-08-11,1092153600
279,1,5,2005-11-02,1130860800
280,1,3,2005-08-17,1124208000
281,1,4,2005-06-04,1117814400
282,1,4,2005-08-10,1123603200
283,1,3,2004-08-26,1093449600
284,1,3,2004-07-11,1089475200
285,1,3,2004-10-13,1097596800
286,1,4,2005-09-17,1126886400
287,1,4,2005-10-06,1128528000
288,1,2,2005-10-05,1128441600
289,1,5,2005-02-17,1108569600
290,1,4,2005-11-15,1131984000
291,1,5,2004-10-27,1098806400
292,1,5,2005-09-13,1126540800
293,1,3,2005-08-09,1123516800
294,1,4,2004-11-22,1101052800
295,1,4,2005-01-19,1106064000
296,1,5,2005-02-26,1109347200
297,1,4,2004-12-10,1102608000
298,1,3,2005-09-19,1127059200
299,1,5,2005-08-29,1125244800
300,1,5,2004-05-19,1084896000
301,1,1,2004-08-19,1092844800
302,1,5,2004-10-01,1096560000
303,1,5,2005-05-16,1116172800
304,1,5,2005-06-08,1118160000
305,1,5,2005-08-30,1125331200
306,1,4,2005-03-03,1109779200
307,1,4,2005-09-08,1126108800
308,1,3,2005-06-21,1119283200
309,1,5,2005-11-18,1132243200
310,1,2,2005-08-12,1123776000
311,1,4,2005-08-30,1125331200
312,1,4,2005-01-20,1106150400
313,1,5,2005-05-09,1115568000
314,1,5,2005-07-02,1120233600
315,1,3,2005-07-28,1122480000
316,1,3,2005-08-14,1123948800
317,1,3,2005-06-11,1118419200
318,1,5,2005-09-02,1125590400
319,1,4,2004-10-15,1097769600
320,1,4,2005-06-27,1119801600
321,1,4,2004-09-06,1094400000
322,1,3,2005-09-12,1126454400
323,1,5,2005-11-05,1131120000
324,1,5,2005-08-17,1124208000
325,1,4,2005-05-18,1116345600
326,1,5,2005-11-20,1132416000
327,1,5,2005-11-29,1133193600
328,1,1,2004-02-08,1076169600
329,1,1,2005-08-16,1124121600
330,1,4,2004-07-15,1089820800
331,1,4,2005-06-02,1117641600
332,1,5,2005-09-06,1125936000
333,1,1,2005-10-03,1128268800
334,1,4,2005-11-23,1132675200
335,1,4,2005-02-08,1107792000
336,1,4,2005-10-17,1129478400
337,1,4,2005-05-09,1115568000
338,1,5,2005-03-22,1111420800
339,1,4,2005-10-04,1128355200
340,1,5,2005-08-15,1124035200
341,1,4,2005-02-01,1107187200
342,1,5,2005-04-06,1112716800
343,1,5,2004-03-29,1080489600
344,1,2,2004-03-31,1080662400
345,1,5,2005-10-04,1128355200
346,1,4,2004-07-23,1090512000
347,1,5,2004-07-21,1090339200
348,1,2,2004-07-19,1090166400
349,1,5,2004-09-15,1095177600
350,1,4,2005-01-22,1106323200
351,1,4,2005-11-12,1131724800
352,1,4,2004-08-18,1092758400
353,1,3,2004-09-08,1094572800
354,1,3,2004-10-02,1096646400
355,1,4,2005-02-07,1107705600
356,1,5,2005-06-02,1117641600
357,1,5,2005-09-19,1127059200
358,1,3,2005-08-06,1123257600
359,1,4,2005-08-10,1123603200
360,1,4,2004-07-27,1090857600
361,1,3,2005-03-05,1109952000
362,1,3,2005-03-16,1110902400
363,1,3,2004-04-15,1081958400
364,1,3,2005-08-24,1124812800
365,1,4,2004-08-19,1092844800
366,1,4,2004-09-21,1095696000
367,1,2,2004-11-15,1100448000
368,1,3,2005-09-27,1127750400
369,1,1,2005-07-25,1122220800
370,1,5,2004-08-31,1093881600
371,1,5,2004-10-26,1098720000
372,1,4,2004-10-29,1098979200
373,1,5,2005-04-12,1113235200
374,1,5,2004-08-10,1092067200
375,1,4,2005-11-17,1132156800
376,1,4,2004-09-17,1095350400
377,1,2,2004-09-22,1095782400
378,1,4,2005-03-19,1111161600
379,1,4,2005-05-16,1116172800
380,1,4,2005-10-17,1129478400
381,1,5,2005-12-09,1134057600
382,1,5,2004-10-16,1097856000
383,1,3,2004-02-24,1077552000
384,1,4,2005-07-19,1121702400
385,1,2,2005-08-09,1123516800
386,1,2,2004-10-09,1097251200
387,1,4,2005-04-28,1114617600
388,1,4,2005-05-25,1116950400
389,1,5,2005-10-13,1129132800
390,1,5,2004-02-29,1077984000
391,1,5,2004-08-10,1092067200
392,1,3,2004-02-26,1077724800
393,1,2,2004-04-26,1082908800
394,1,1,2004-02-22,1077379200
395,1,3,2005-05-15,1116086400
396,1,4,2004-07-02,1088697600
397,1,4,2004-07-01,1088611200
398,1,3,2005-08-25,1124899200
399,1,4,2004-07-27,1090857600
400,1,4,2004-08-22,1093104000
401,1,3,2005-07-12,1121097600
402,1,4,2004-08-12,1092240000
403,1,4,2005-01-11,1105372800
404,1,4,2004-04-29,1083168000
405,1,3,2004-06-01,1086019200
406,1,3,2004-11-22,1101052800
407,1,4,2005-01-26,1106668800
408,1,4,2005-06-27,1119801600
409,1,5,2005-09-14,1126627200
410,1,3,2005-10-01,1128096000
411,1,5,2005-08-08,1123430400
412,1,3,2004-07-09,1089302400
413,1,5,2005-07-20,1121788800
414,1,3,2005-11-18,1132243200
415,1,4,2004-08-05,1091635200
416,1,5,2004-12-16,1103126400
417,1,4,2004-11-09,1099929600
418,1,2,2004-12-03,1102003200
419,1,3,2004-03-30,1080576000
420,1,3,2005-02-18,1108656000
421,1,5,2005-03-19,1111161600
422,1,5,2005-04-06,1112716800
423,1,4,2005-10-24,1130083200
424,1,4,2004-11-08,1099843200
425,1,4,2004-02-10,1076342400
426,1,3,2005-08-08,1123430400
427,1,3,2004-07-21,1090339200
428,1,5,2005-05-02,1114963200
429,1,4,2005-08-23,1124726400
430,1,3,2004-09-06,1094400000
431,1,5,2005-01-07,1105027200
432,1,4,2005-05-02,1114963200
433,1,4,2005-05-27,1117123200
434,1,3,2005-06-20,1119196800
435,1,3,2005-09-29,1127923200
436,1,3,2005-10-19,1129651200
437,1,5,2005-10-24,1130083200
438,1,3,2004-09-05,1094313600
439,1,4,2005-02-27,1109433600
440,1,3,2005-04-28,1114617600
441,1,4,2005-04-27,1114531200
442,1,4,2005-11-21,1132502400
443,1,1,2004-02-08,1076169600
444,1,4,2005-08-26,1124985600
445,1,4,2004-07-19,1090166400
446,1,5,2005-02-13,1108224000
447,1,4,2004-01-26,1075046400
448,1,3,2004-08-12,1092240000
449,1,5,2004-06-28,1088352000
450,1,4,2004-09-17,1095350400
451,1,3,2004-10-11,1097424000
452,1,4,2005-02-11,1108051200
453,1,4,2005-09-08,1126108800
454,1,3,2005-06-06,1117987200
455,1,3,2004-02-25,1077638400
456,1,5,2004-12-21,1103558400
457,1,4,2005-04-27,1114531200
458,1,1,2005-05-03,1115049600
459,1,1,2005-07-08,1120752000
460,1,4,2005-07-10,1120924800
461,1,3,2004-09-09,1094659200
462,1,3,2004-09-30,1096473600
463,1,3,2005-03-23,1111507200
464,1,4,2005-05-22,1116691200
465,1,5,2005-09-19,1127059200
466,1,3,2004-04-07,1081267200
467,1,3,2005-10-10,1128873600
468,1,4,2005-10-15,1129305600
469,1,5,2005-11-07,1131292800
470,1,4,2004-05-07,1083859200
471,1,3,2004-06-16,1087315200
472,1,4,2005-01-23,1106409600
473,1,5,2005-10-31,1130688000
474,1,3,2005-11-27,1133020800
475,1,4,2004-08-23,1093190400
476,1,4,2005-06-13,1118592000
477,1,4,2005-06-30,1120060800
478,1,3,2005-07-18,1121616000
479,1,3,2005-08-01,1122825600
480,1,4,2005-05-02,1114963200
481,1,3,2005-05-27,1117123200
482,1,4,2005-10-24,1130083200
483,1,5,2004-03-21,1079798400
484,1,5,2004-07-09,1089302400
485,1,3,2004-04-16,1082044800
486,1,4,2005-08-16,1124121600
487,1,4,2004-06-08,1086624000
488,1,5,2005-03-28,1111939200
489,1,3,2005-06-22,1119369600
490,1,3,2004-05-12,1084291200
491,1,4,2005-09-09,1126195200
492,1,3,2004-06-17,1087401600
493,1,3,2005-01-05,1104854400
494,1,5,2005-05-19,1116432000
495,1,4,2004-05-29,1085760000
496,1,5,2004-06-23,1087920000
497,1,3,2004-11-01,1099238400
498,1,4,2005-01-24,1106496000
499,1,4,2005-07-07,1120665600
500,1,3,2005-08-11,1123689600
501,1,5,2005-08-15,1124035200
502,1,5,2004-09-28,1096300800
503,1,4,2005-03-20,1111248000
504,1,4,2005-02-05,1107532800
505,1,4,2005-07-07,1120665600
506,1,4,2005-04-05,1112630400
507,1,5,2004-09-13,1095004800
508,1,4,2005-04-05,1112630400
509,1,3,2005-06-23,1119456000
510,1,4,2004-09-14,1095091200
511,1,4,2005-01-11,1105372800
512,1,4,2005-04-23,1114185600
513,1,1,2004-02-13,1076601600
514,1,5,2005-03-22,1111420800
515,1,4,2005-04-19,1113840000
516,1,4,2005-09-20,1127145600
517,1,1,2005-02-13,1108224000
518,1,5,2005-03-03,1109779200
519,1,3,2005-12-04,1133625600
520,1,3,2004-07-07,1089129600
521,1,3,2005-02-23,1109088000
522,1,5,2004-11-15,1100448000
523,1,3,2005-02-07,1107705600
524,1,3,2005-10-04,1128355200
525,1,5,2005-08-08,1123430400
526,1,5,2004-11-06,1099670400
527,1,4,2005-01-13,1105545600
528,1,2,2005-02-14,1108310400
529,1,3,2005-03-10,1110384000
530,1,4,2005-08-12,1123776000
531,1,5,2005-01-11,1105372800
532,1,1,2005-02-07,1107705600
533,1,5,2005-03-20,1111248000
534,1,5,2005-05-30,1117382400
535,1,4,2005-09-15,1126713600
536,1,3,2005-04-25,1114358400
537,1,5,2005-04-27,1114531200
538,1,4,2005-05-18,1116345600
539,1,4,2005-06-05,1117900800
540,1,4,2005-06-30,1120060800
541,1,5,2005-12-02,1133452800
542,1,5,2005-02-02,1107273600
543,1,4,2005-05-17,1116259200
544,1,3,2005-11-12,1131724800
545,1,4,2005-08-18,1124294400
546,1,4,2005-09-01,1125504000
547,1,5,2004-07-20,1090252800
548,2,4,2005-09-05,1125849600
549,2,3,2005-04-19,1113840000
550,2,4,2005-04-22,1114099200
551,2,5,2005-11-21,1132502400
552,2,4,2004-11-13,1100275200
553,2,2,2004-12-06,1102262400
554,2,3,2005-07-21,1121875200
555,2,4,2004-12-10,1102608000
556,2,4,2005-02-24,1109174400
557,2,3,2005-05-23,1116777600
558,2,4,2004-11-12,1100188800
559,2,4,2005-03-27,1111852800
560,2,5,2005-06-04,1117814400
561,2,5,2004-12-12,1102780800
562,2,5,2005-01-20,1106150400
563,2,3,2004-11-30,1101744000
564,2,4,2005-06-17,1118937600
565,2,5,2005-08-19,1124380800
566,2,3,2005-07-19,1121702400
567,2,5,2004-12-21,1103558400
568,2,4,2005-12-01,1133366400
569,2,3,2005-02-07,1107705600
570,2,4,2005-02-23,1109088000
571,2,3,2005-09-06,1125936000
572,2,4,2005-10-12,1129046400
573,2,4,2005-09-07,1126022400
574,2,5,2005-07-05,1120492800
575,2,1,2005-05-30,1117382400
576,2,2,2005-11-14,1131897600
577,2,4,2005-02-09,1107878400
578,2,2,2005-09-26,1127664000
94,2,1,2005-08-23,1124726400
579,2,4,2005-03-04,1109865600
580,2,4,2005-05-05,1115222400
102,2,1,2005-02-10,1107964800
581,2,4,2005-08-29,1125244800
582,2,5,2005-01-30,1107014400
583,2,4,2005-02-06,1107619200
584,2,5,2005-06-20,1119196800
585,2,3,2005-07-09,1120838400
586,2,4,2005-11-05,1131120000
587,2,3,2005-08-26,1124985600
588,2,3,2005-04-24,1114272000
589,2,1,2005-08-12,1123776000
590,2,5,2005-04-08,1112889600
591,2,3,2005-03-23,1111507200
592,2,3,2005-04-19,1113840000
593,2,5,2005-05-10,1115654400
594,2,4,2005-04-25,1114358400
595,2,5,2005-07-18,1121616000
596,2,4,2005-03-14,1110729600
597,2,5,2005-01-02,1104595200
598,2,2,2005-06-28,1119888000
599,2,4,2005-10-07,1128614400
600,2,5,2005-11-09,1131465600
601,2,4,2005-01-30,1107014400
602,2,5,2005-05-24,1116864000
164,2,1,2005-09-25,1127577600
603,2,4,2005-03-05,1109952000
604,2,3,2005-05-25,1116950400
605,2,3,2005-03-24,1111593600
606,2,4,2005-07-15,1121356800
607,2,1,2005-08-14,1123948800
608,2,3,2005-01-28,1106841600
609,2,4,2005-05-23,1116777600
610,2,4,2005-06-28,1119888000
611,2,5,2005-12-13,1134403200
612,2,1,2005-07-23,1122048000
613,2,5,2005-02-17,1108569600
614,2,5,2005-04-26,1114444800
615,2,5,2005-02-28,1109520000
616,2,2,2005-06-21,1119283200
617,2,3,2005-04-07,1112803200
618,2,5,2005-10-20,1129737600
619,2,5,2005-01-19,1106064000
217,2,4,2005-10-13,1129132800
620,2,3,2004-11-18,1100707200
621,2,5,2004-12-16,1103126400
622,2,4,2005-04-18,1113753600
623,2,3,2005-01-25,1106582400
624,2,3,2005-09-09,1126195200
625,2,3,2005-03-17,1110988800
626,2,3,2005-02-10,1107964800
627,2,4,2005-01-11,1105372800
628,2,5,2005-09-20,1127145600
629,2,5,2005-05-05,1115222400
630,2,3,2005-08-25,1124899200
631,2,2,2005-06-05,1117900800
632,2,1,2005-11-10,1131552000
633,2,5,2005-03-23,1111507200
634,2,4,2005-04-14,1113408000
635,2,5,2005-03-07,1110124800
636,2,4,2005-11-25,1132848000
637,2,5,2005-01-30,1107014400
638,2,1,2005-05-16,1116172800
639,2,4,2005-06-07,1118073600
640,2,3,2005-07-04,1120406400
641,2,3,2005-09-17,1126886400
642,2,3,2005-02-06,1107619200
643,2,5,2005-07-15,1121356800
644,2,3,2005-09-02,1125590400
328,2,1,2004-10-16,1097856000
645,2,4,2005-02-27,1109433600
646,2,3,2005-09-03,1125676800
647,2,3,2005-11-27,1133020800
648,2,5,2005-01-13,1105545600
649,2,2,2005-01-12,1105459200
650,2,2,2005-08-17,1124208000
651,2,1,2005-11-18,1132243200
652,2,4,2005-11-08,1131379200
653,2,5,2004-11-22,1101052800
654,2,4,2004-12-26,1103990400
655,2,5,2005-04-26,1114444800
656,2,2,2004-12-14,1102953600
657,2,2,2005-02-11,1108051200
658,2,4,2005-07-30,1122652800
659,2,4,2005-05-16,1116172800
418,2,3,2005-11-26,1132934400
660,2,5,2004-12-18,1103299200
661,2,5,2005-10-03,1128268800
662,2,5,2005-10-18,1129564800
663,2,2,2005-06-03,1117728000
664,2,4,2005-09-11,1126368000
435,2,3,2005-09-23,1127404800
437,2,4,2005-12-20,1135008000
443,2,1,2004-11-19,1100793600
665,2,5,2005-05-12,1115827200
666,2,1,2005-09-07,1126022400
667,2,4,2005-06-07,1118073600
668,2,5,2005-07-05,1120492800
669,2,4,2005-04-18,1113753600
670,2,5,2005-07-07,1120665600
671,2,5,2005-01-20,1106150400
672,2,1,2005-03-21,1111334400
673,2,1,2005-08-17,1124208000
674,2,3,2005-01-27,1106755200
675,2,5,2005-04-25,1114358400
676,2,5,2005-06-18,1119024000
677,2,3,2005-06-01,1117555200
678,2,3,2004-11-17,1100620800
679,2,3,2005-04-15,1113494400
517,2,1,2005-02-13,1108224000
680,2,4,2005-04-20,1113926400
681,2,3,2004-12-23,1103731200
682,2,5,2005-07-25,1122220800
683,3,4,2003-03-29,1048867200
684,3,5,2004-02-01,1075564800
685,3,4,2004-07-03,1088784000
686,3,3,2005-07-22,1121961600
687,3,5,2004-06-22,1087833600
688,3,4,2003-09-20,1063987200
689,3,1,2004-01-22,1074700800
690,3,3,2003-03-17,1047830400
691,3,3,2003-03-19,1048003200
692,3,4,2004-03-31,1080662400
693,3,4,2003-08-10,1060444800
694,3,4,2004-03-15,1079280000
695,3,5,2004-02-09,1076256000
696,3,2,2005-10-05,1128441600
697,3,4,2003-08-11,1060531200
698,3,3,2003-07-16,1058284800
699,3,2,2004-07-08,1089216000
700,3,4,2003-05-02,1051804800
701,3,3,2005-08-10,1123603200
702,3,5,2004-02-21,1077292800
703,3,5,2003-03-10,1047225600
704,3,3,2003-05-09,1052409600
705,3,4,2003-08-25,1061740800
706,3,4,2004-08-16,1092585600
707,3,4,2004-04-18,1082217600
708,3,3,2004-07-14,1089734400
709,3,5,2005-05-31,1117468800
710,3,5,2005-06-13,1118592000
711,3,4,2005-06-21,1119283200
712,3,2,2005-09-26,1127664000
713,3,4,2005-11-01,1130774400
714,3,4,2005-11-14,1131897600
715,3,3,2003-06-21,1056124800
716,3,4,2005-07-11,1121011200
717,3,4,2003-05-30,1054224000
718,3,5,2003-08-23,1061568000
719,3,2,2003-08-08,1060272000
720,3,4,2004-05-25,1085414400
721,3,4,2003-03-18,1047916800
722,3,3,2005-09-04,1125763200
723,3,4,2003-08-27,1061913600
724,3,4,2004-03-16,1079366400
725,3,1,2004-08-23,1093190400
726,3,5,2004-11-18,1100707200
727,3,4,2004-12-17,1103212800
728,3,5,2005-01-06,1104940800
729,3,2,2005-06-17,1118937600
730,3,4,2005-10-04,1128355200
731,3,3,2005-10-09,1128787200
732,3,4,2003-02-20,1045670400
733,3,5,2003-05-27,1053964800
734,3,1,2004-05-29,1085760000
735,3,5,2003-04-30,1051632000
736,3,4,2003-05-13,1052755200
737,3,3,2004-01-27,1075132800
738,3,4,2004-07-01,1088611200
739,3,4,2004-08-20,1092931200
740,3,4,2004-09-28,1096300800
741,3,4,2005-02-28,1109520000
742,3,3,2005-03-19,1111161600
743,3,5,2005-05-15,1116086400
744,3,4,2003-02-12,1044979200
745,3,4,2003-04-19,1050681600
746,3,1,2003-07-17,1058371200
747,3,5,2003-07-09,1057680000
748,3,4,2003-04-07,1049644800
749,3,3,2003-08-26,1061827200
750,3,3,2004-01-28,1075219200
751,3,4,2003-09-03,1062518400
752,3,3,2003-09-03,1062518400
753,3,4,2004-01-13,1073923200
754,3,4,2004-08-22,1093104000
755,3,4,2005-04-03,1112457600
756,3,3,2005-06-16,1118851200
757,3,4,2005-10-26,1130256000
758,3,4,2005-11-14,1131897600
759,3,5,2003-03-05,1046793600
760,3,4,2004-05-18,1084809600
761,3,2,2003-10-28,1067270400
762,3,5,2004-08-28,1093622400
763,3,4,2003-12-16,1071504000
764,3,1,2003-03-06,1046880000
765,3,4,2003-03-25,1048521600
766,3,3,2003-11-22,1069430400
